data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
1963,1963,Brigadeiro José Vieira Couto de Magalhăes,homem,Praça Bento de Camargo Barros,-23.5207,-46.62921,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Bento de Camargo Barros
1985,1985,Doutora Carlota Pereira Queiroz,mulher,Praça Califórnia,-23.57473,-46.67191,N,não consta,não consta,DPH/SMC,Herma,bronze concreto e mármore,não consta,não consta,"MORRONE, Luiz",Praça Califórnia
1990,ca. 199-,Maria Esther Bueno,mulher,Praça Califórnia,-23.57473,-46.67191,N,não consta,não consta,DPH/SMC,Escultura Figurativa,bronze e mármore,não consta,não consta,"ROSA, Gustavo",Praça Califórnia
2006,1974 (escultura original) / 2006 (escultura nova),14 Bis,homem,Praça Campo de Bagatelle,-23.51537,-46.62951,N,não consta,não consta,DPH/SMC,Escultura Figurativa,latăo alumínio bronze e granito,não consta,não consta,FUNCIONÁRIOS do Parque Aeronáutico de Marte,Praça Campo de Bagatelle
1999,1999,Monumento ao Ex-Combatente,não figurativo,Praça Carlos Gardel,-23.58145,-46.65381,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço concreto e mármore,não consta,não consta,"CARON, Jorge O.",Praça Carlos Gardel
1992,,Anjo,homem,Praça Cecília Perigo Saldiva,-23.55377,-46.70158,N,não consta,não consta,DPH/SMC,Escultura Abstrata,bronze e granito,não consta,não consta,"BONOMI, Maria",Praça Cecília Périgo Saldiva
2005,2005,Rafic Hariri,homem,Praça Cedro do Líbano,-23.57841,-46.66317,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"KISLANSKY, Israel",Praça Cedro do Líbano
1900,19--,Atletas do Brasil,homem,Praça Charles Miller,-23.5453,-46.66534,N,não consta,não consta,DPH/SMC,Placa,cimento,não consta,não consta,desconhecido,Praça Charles Miller
1971,1971,Fonte Milăo – Săo Paulo,não figurativo,Praça Cidade de Milão,-23.59412,-46.66491,N,não consta,não consta,DPH/SMC,Chafariz ( FONTE ORNAMENAL),argamassa armada granito concreto e ladrilhos cerâmicos,não consta,não consta,desconhecido,Praça Cidade de Milăo
1900,19--,Leăo,não figurativo,Praça Cilio Carnelos,-23.63789,-46.60832,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada,não consta,não consta,desconhecido,Praça Cílio Carnelos
